AMOC variable,CanESM5,NorESM2-LM,CESM2,MPI-ESM1.2-LR,GISS-E2-1-G,ACCESS-ESM1-5,MIROC-ES2L
pi_mean,11.3593,20.2481,17.9606,18.9558,24.0726,18.1399,12.7606
pi_std,0.8353,0.7822,0.8402,1.1434,1.7283,0.9571,1.0308
2100_weakening_to_pi,23.3,49.3,47.9,22.5,42.5,23.5,42.1
2100_weakening_to_2015,28.7,48.2,45.7,17.4,38.4,17.4,37.1
2100_weakening_to_pi_ssp126,,39.8,,12.4,,,
2100_weakening_to_2015_ssp126,,39.1,,6.6,,,
2100_weakening_to_pi_ssp585,,60.1,,32.3,,,
2100_weakening_to_2015_ssp585,,61.3,,27.7,,,
2100_strength_mean,8.714935911631674,10.275275758779376,9.360475538004678,14.688162674754373,13.83271072144218,13.880667560780873,7.38927463092799
2100_strength_std,0.6997706977785886,0.9600927684692453,0.3952984263152593,0.8159778327182251,0.6895160004661302,0.5540453032586637,0.786529272002649
2100_strength_mean_ssp126,,12.190521651234215,,16.606920599198236,,,
2100_strength_std_ssp126,,,,0.8035771682372089,,,
2100_strength_mean_ssp585,,8.07312921830939,,12.83333642790832,,,
2100_strength_std_ssp585,,,,1.0406879668148217,,,
